id,question_type,recall_at_k,mrr,answerable_accuracy,citation_accuracy,criteria_coverage,error
q001,comparison,1.0,0.5,1.0,,,
q002,fact,1.0,1.0,1.0,,,
q003,fact,1.0,1.0,1.0,,,
q004,reasoning,1.0,1.0,1.0,,,
q005,troubleshooting,1.0,1.0,1.0,,,
q006,comparison,1.0,1.0,1.0,,,
q007,summary,1.0,1.0,1.0,,,
q008,reasoning,0.0,0.0,1.0,,,
q009,comparison,1.0,1.0,1.0,,,
q010,fact,1.0,1.0,1.0,,,
q011,comparison,1.0,1.0,1.0,,,
q012,reasoning,1.0,1.0,1.0,,,
q013,summary,1.0,1.0,1.0,,,
q014,reasoning,1.0,0.5,1.0,,,
q015,fact,1.0,1.0,1.0,,,
q016,troubleshooting,1.0,1.0,1.0,,,
q017,comparison,1.0,1.0,1.0,,,
q018,comparison,1.0,0.5,1.0,,,
q019,comparison,1.0,1.0,1.0,,,
q020,reasoning,1.0,1.0,1.0,,,
q021,reasoning,1.0,1.0,1.0,,,
q022,fact,1.0,1.0,1.0,,,
q023,troubleshooting,0.6666666666666666,1.0,1.0,,,
q024,troubleshooting,1.0,1.0,1.0,,,
q025,troubleshooting,1.0,1.0,1.0,,,
q026,reasoning,0.5,1.0,1.0,,,
q027,unanswerable,,,0.0,,,
q028,unanswerable,,,1.0,,,
